vuln_id,name,version,ecosystem,file,line,severity,description,fixed_in,published,modified,references
GHSA-29mw-wpgm-hmr9,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Regular Expression Denial of Service (ReDoS) in lodash,,,,
GHSA-35jh-r3h4-6jhm,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Command Injection in lodash,,,,
GHSA-xxjr-mmjv-4gpg,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions,,,,
GHSA-43fc-jf86-j433,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios is Vulnerable to Denial of Service via __proto__ Key in mergeConfig,,,,
GHSA-4hjh-wcwx-xvwj,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios is vulnerable to DoS attack through lack of data size check,,,,
GHSA-8hc4-vh64-cxmj,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Server-Side Request Forgery in axios,,,,
GHSA-jr5f-v2jv-69x6,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,axios Requests Vulnerable To Possible SSRF and Credential Leakage via Absolute URL,,,,
GHSA-wf5p-g6vw-rhxx,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios Cross-Site Request Forgery Vulnerability,,,,
GHSA-qw6h-vgh9-j6wx,express,4.18.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,express vulnerable to XSS via response.redirect(),,,,
GHSA-rv95-896h-c2vc,express,4.18.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Express.js Open Redirect in malformed URLs,,,,
GHSA-6rw7-vpxm-498p,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion,,,,
GHSA-w7fw-mjwx-w883,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,qs's arrayLimit bypass in comma parsing allows denial of service,,,,
